;124;432;DELANTERO;131;1;4800;6-1/2-CUARTO/DEL/PAR;1;
;125;433;CHINGOLITO;131;1;4400;4-CARNE VACUNA;1;
;126;434;LITORALE¥O;131;1;4400;4-CARNE VACUNA;1;
;127;435;BIFE DE CHORIZO;131;1;4400;4-CARNE VACUNA;1;
;128;436;CUARTO PISTOLA;131;1;4400;4-CARNE VACUNA;1;
;129;438;1/2 RES VACUNA S/DELANTERO;131;1;4800;6-1/2-CUARTO/DEL/PAR;1;
;130;439;1/2 RES VACUNA S/CUARTO;131;1;4800;6-1/2-CUARTO/DEL/PAR;1;
;131;440;COGOTE;131;1;4400;4-CARNE VACUNA;1;
;132;441;PATA DE TERNERA COCIDA;131;1;4999;SERVICIO DE FAENA;0;
;133;442;PALETA C/HUESO;131;1;4400;4-CARNE VACUNA;1;
;134;443;BIFE C/LOMO;131;1;4400;4-CARNE VACUNA;1;
;135;444;ASADO DE ORILLA;131;1;4400;4-CARNE VACUNA;1;
;136;445;TORTUGUITA;131;1;4400;4-CARNE VACUNA;1;
;137;446;CARNE VACUNA;131;1;4400;4-CARNE VACUNA;1;
;138;447;ASADO CONGELADO;131;1;4400;4-CARNE VACUNA;1;
;139;448;VACIO CONGELADO;131;1;4400;4-CARNE VACUNA;1;
;140;449;AZOTILLO;131;1;4400;4-CARNE VACUNA;1;
;141;501;HIGADO;131;1;4500;5-MENUDENCIAS;1;
;142;502;BOFE;131;1;4500;5-MENUDENCIAS;1;
;143;503;CORAZON      U;131;1;4500;5-MENUDENCIAS;1;
;144;504;CUAJO        U;131;1;4500;5-MENUDENCIAS;1;
;145;505;ENTRA¥A;131;1;4500;5-MENUDENCIAS;1;
;146;506;LENGUA;131;1;4500;5-MENUDENCIAS;1;
;147;507;RABOS;131;1;4500;5-MENUDENCIAS;1;
;148;508;CHINCHULINES K;131;1;4500;5-MENUDENCIAS;1;
;149;509;MONDONGO;131;1;4500;5-MENUDENCIAS;1;
;150;510;PARRILLADA COMPLETA  U;131;1;4500;5-MENUDENCIAS;1;
;151;511;QUIJADA      U;131;1;4500;5-MENUDENCIAS;1;
;152;512;RINONES      U;131;1;4500;5-MENUDENCIAS;1;
;153;513;SESOS        U;131;1;4500;5-MENUDENCIAS;1;
;154;514;TRIPA GORDA;131;1;4500;5-MENUDENCIAS;1;
;155;515;MOLLEJA      K;131;1;4500;5-MENUDENCIAS;1;
;156;516;TENDON       K;131;1;4500;5-MENUDENCIAS;1;
;157;517;UBRE         K;131;1;4500;5-MENUDENCIAS;1;
;158;518;GRASA VACUNA;131;1;4500;5-MENUDENCIAS;1;
;159;519;RI¥ONES X KG.;131;1;4500;5-MENUDENCIAS;1;
;160;520;BOLSAS DE MENUDENCIA;131;1;4800;6-1/2-CUARTO/DEL/PAR;1;
;161;600;PERCEPCION CUEROS;131;1;4999;SERVICIO DE FAENA;2;
;162;601;SERVICIO DE FAENA;131;1;4999;SERVICIO DE FAENA;0;
;163;700;PRECIO BONIFICADO CARNE;131;1;4950;PRECIO BONIFICADO CARNE;1;
