"r01;r02;id;r01;prevta"
"00000230;LOMITO AHUMADO NATURAL;26;L60 TOTO SAPORE;47110.60200
"00000230;LOMITO AHUMADO NATURAL;1;L1 COMERCIO;18050.14200
"00000230;LOMITO AHUMADO NATURAL;41;L41 ENV AL VACIO;392.73150
"00000230;LOMITO AHUMADO NATURAL;54;USUARIO FAENA  BBCA;0.00000
"00000230;LOMITO AHUMADO NATURAL;2;L2 VILLARINO;18050.14200
"00000230;LOMITO AHUMADO NATURAL;52;PM MEAT CHAIN BONARENSE;16338.56400
"00000230;LOMITO AHUMADO NATURAL;55;L55 MARTIN LISTA;18550.74100
"00000230;LOMITO AHUMADO NATURAL;4;L3 P ALTA/SIERRA/MONTE;18050.14200
"00000232;JAMON COCIDO GENUINO CON CUERO;41;L41 ENV AL VACIO;224.39550
"00000232;JAMON COCIDO GENUINO CON CUERO;55;L55 MARTIN LISTA;0.00000
"00000232;JAMON COCIDO GENUINO CON CUERO;1;L1 COMERCIO;0.00000
"00000232;JAMON COCIDO GENUINO CON CUERO;52;PM MEAT CHAIN BONARENSE;0.00000
"00000232;JAMON COCIDO GENUINO CON CUERO;53;MD;0.00000
"00000232;JAMON COCIDO GENUINO CON CUERO;2;L2 VILLARINO;0.00000
"00000232;JAMON COCIDO GENUINO CON CUERO;26;L60 TOTO SAPORE;0.00000
"00000232;JAMON COCIDO GENUINO CON CUERO;54;USUARIO FAENA  BBCA;1.00000
"00000232;JAMON COCIDO GENUINO CON CUERO;4;L3 P ALTA/SIERRA/MONTE;0.00000
"00000233;JAMON COCIDO NATURAL;41;L41 ENV AL VACIO;0.00000
"00000233;JAMON COCIDO NATURAL;1;L1 COMERCIO;0.00000
"00000233;JAMON COCIDO NATURAL;55;L55 MARTIN LISTA;0.00000
"00000233;JAMON COCIDO NATURAL;2;L2 VILLARINO;0.00000
"00000233;JAMON COCIDO NATURAL;52;PM MEAT CHAIN BONARENSE;0.00000
"00000233;JAMON COCIDO NATURAL;53;MD;0.00000
"00000233;JAMON COCIDO NATURAL;26;L60 TOTO SAPORE;34499.63000
"00000233;JAMON COCIDO NATURAL;4;L3 P ALTA/SIERRA/MONTE;0.00000
"00000233;JAMON COCIDO NATURAL;54;USUARIO FAENA  BBCA;1.00000
"00000234;SALAMIN PIC. GRUESO EST.CAMPO X KG.;26;L60 TOTO SAPORE;61870.34700
"00000234;SALAMIN PIC. GRUESO EST.CAMPO X KG.;54;USUARIO FAENA  BBCA;0.00000
"00000234;SALAMIN PIC. GRUESO EST.CAMPO X KG.;1;L1 COMERCIO;18183.82500
"00000234;SALAMIN PIC. GRUESO EST.CAMPO X KG.;41;L41 ENV AL VACIO;352.04400
"00000234;SALAMIN PIC. GRUESO EST.CAMPO X KG.;55;L55 MARTIN LISTA;17230.14700
"00000234;SALAMIN PIC. GRUESO EST.CAMPO X KG.;2;L2 VILLARINO;18183.82500
"00000234;SALAMIN PIC. GRUESO EST.CAMPO X KG.;52;PM MEAT CHAIN BONARENSE;16146.46000
"00000234;SALAMIN PIC. GRUESO EST.CAMPO X KG.;4;L3 P ALTA/SIERRA/MONTE;18183.82500
"00000234;SALAMIN PIC. GRUESO EST.CAMPO X KG.;53;MD;0.00000
"00000236;LONGANIZA NAPOLITANA;2;L2 VILLARINO;16807.27400
"00000236;LONGANIZA NAPOLITANA;52;PM MEAT CHAIN BONARENSE;16146.46000
"00000236;LONGANIZA NAPOLITANA;4;L3 P ALTA/SIERRA/MONTE;16807.27400
"00000236;LONGANIZA NAPOLITANA;53;MD;0.00000
"00000236;LONGANIZA NAPOLITANA;26;L60 TOTO SAPORE;61870.34700
"00000236;LONGANIZA NAPOLITANA;54;USUARIO FAENA  BBCA;0.00000
"00000236;LONGANIZA NAPOLITANA;1;L1 COMERCIO;16318.18100
"00000236;LONGANIZA NAPOLITANA;41;L41 ENV AL VACIO;352.04400
"00000236;LONGANIZA NAPOLITANA;55;L55 MARTIN LISTA;17230.14700
"00000237;LONGANIZA CALABREZA;1;L1 COMERCIO;17200.90900
"00000237;LONGANIZA CALABREZA;41;L41 ENV AL VACIO;352.04400
"00000237;LONGANIZA CALABREZA;55;L55 MARTIN LISTA;17230.14700
"00000237;LONGANIZA CALABREZA;2;L2 VILLARINO;17200.90900
"00000237;LONGANIZA CALABREZA;52;PM MEAT CHAIN BONARENSE;16146.46000
"00000237;LONGANIZA CALABREZA;4;L3 P ALTA/SIERRA/MONTE;17200.90900
"00000237;LONGANIZA CALABREZA;53;MD;0.00000
"00000237;LONGANIZA CALABREZA;26;L60 TOTO SAPORE;61870.34700
"00000237;LONGANIZA CALABREZA;54;USUARIO FAENA  BBCA;0.00000
"00000238;SALAMIN PICADO FINO;4;L3 P ALTA/SIERRA/MONTE;17495.77500
"00000238;SALAMIN PICADO FINO;53;MD;0.00000
"00000238;SALAMIN PICADO FINO;26;L60 TOTO SAPORE;61870.47900
"00000238;SALAMIN PICADO FINO;54;USUARIO FAENA  BBCA;0.00000
"00000238;SALAMIN PICADO FINO;1;L1 COMERCIO;17495.77500
"00000238;SALAMIN PICADO FINO;41;L41 ENV AL VACIO;0.00000
"00000238;SALAMIN PICADO FINO;55;L55 MARTIN LISTA;17230.14700
"00000238;SALAMIN PICADO FINO;2;L2 VILLARINO;17495.77500
"00000238;SALAMIN PICADO FINO;52;PM MEAT CHAIN BONARENSE;16146.46000
"00000239;SALAMIN PICADO GRUESO;55;L55 MARTIN LISTA;17230.14700
"00000239;SALAMIN PICADO GRUESO;2;L2 VILLARINO;17495.77500
"00000239;SALAMIN PICADO GRUESO;52;PM MEAT CHAIN BONARENSE;16146.46000
"00000239;SALAMIN PICADO GRUESO;4;L3 P ALTA/SIERRA/MONTE;17495.77500
"00000239;SALAMIN PICADO GRUESO;53;MD;0.00000
"00000239;SALAMIN PICADO GRUESO;26;L60 TOTO SAPORE;61870.34700
"00000239;SALAMIN PICADO GRUESO;54;USUARIO FAENA  BBCA;0.00000
"00000239;SALAMIN PICADO GRUESO;1;L1 COMERCIO;17495.77500
"00000239;SALAMIN PICADO GRUESO;41;L41 ENV AL VACIO;0.00000
"00000241;MATAMBRE ARROLLADO;26;L60 TOTO SAPORE;0.00000
"00000241;MATAMBRE ARROLLADO;41;L41 ENV AL VACIO;0.00000
"00000241;MATAMBRE ARROLLADO;54;USUARIO FAENA  BBCA;1.00000
"00000241;MATAMBRE ARROLLADO;1;L1 COMERCIO;0.00000
"00000241;MATAMBRE ARROLLADO;55;L55 MARTIN LISTA;0.00000
"00000241;MATAMBRE ARROLLADO;2;L2 VILLARINO;0.00000
"00000241;MATAMBRE ARROLLADO;52;PM MEAT CHAIN BONARENSE;0.00000
"00000241;MATAMBRE ARROLLADO;4;L3 P ALTA/SIERRA/MONTE;0.00000
"00000241;MATAMBRE ARROLLADO;53;MD;0.00000
"00000243;SALAMIN TIPO CASERO P.C.;26;L60 TOTO SAPORE;61870.34700
"00000243;SALAMIN TIPO CASERO P.C.;54;USUARIO FAENA  BBCA;0.00000
"00000243;SALAMIN TIPO CASERO P.C.;1;L1 COMERCIO;18183.82500
"00000243;SALAMIN TIPO CASERO P.C.;41;L41 ENV AL VACIO;352.04400
"00000243;SALAMIN TIPO CASERO P.C.;55;L55 MARTIN LISTA;17230.14700
"00000243;SALAMIN TIPO CASERO P.C.;2;L2 VILLARINO;18183.82500
"00000243;SALAMIN TIPO CASERO P.C.;52;PM MEAT CHAIN BONARENSE;16146.46000
"00000243;SALAMIN TIPO CASERO P.C.;4;L3 P ALTA/SIERRA/MONTE;18183.82500
"00000243;SALAMIN TIPO CASERO P.C.;53;MD;0.00000
"00000246;PALETA SANDWICHERA ""303"" X KG;1;L1 COMERCIO;0.00000
"00000246;PALETA SANDWICHERA ""303"" X KG;2;L2 VILLARINO;0.00000
"00000246;PALETA SANDWICHERA ""303"" X KG;26;L60 TOTO SAPORE;0.00000
"00000246;PALETA SANDWICHERA ""303"" X KG;54;USUARIO FAENA  BBCA;1.00000
"00000246;PALETA SANDWICHERA ""303"" X KG;4;L3 P ALTA/SIERRA/MONTE;0.00000
"00000246;PALETA SANDWICHERA ""303"" X KG;52;PM MEAT CHAIN BONARENSE;0.00000
"00000246;PALETA SANDWICHERA ""303"" X KG;53;MD;0.00000
"00000246;PALETA SANDWICHERA ""303"" X KG;41;L41 ENV AL VACIO;0.00000
"00000246;PALETA SANDWICHERA ""303"" X KG;55;L55 MARTIN LISTA;0.00000
"00000247;SOPRESATTA;52;PM MEAT CHAIN BONARENSE;16146.46000
"00000247;SOPRESATTA;4;L3 P ALTA/SIERRA/MONTE;18675.27200
"00000247;SOPRESATTA;53;MD;0.00000
"00000247;SOPRESATTA;26;L60 TOTO SAPORE;61870.34700
"00000247;SOPRESATTA;54;USUARIO FAENA  BBCA;0.00000
"00000247;SOPRESATTA;1;L1 COMERCIO;18675.27200
"00000247;SOPRESATTA;41;L41 ENV AL VACIO;0.00000
"00000247;SOPRESATTA;55;L55 MARTIN LISTA;17230.14700
"00000247;SOPRESATTA;2;L2 VILLARINO;18675.27200
"00000248;SALAMIN PORTE¥O P/GRUESO;52;PM MEAT CHAIN BONARENSE;0.00000
"00000248;SALAMIN PORTE¥O P/GRUESO;55;L55 MARTIN LISTA;0.00000
"00000248;SALAMIN PORTE¥O P/GRUESO;53;MD;0.00000
"00000248;SALAMIN PORTE¥O P/GRUESO;41;L41 ENV AL VACIO;352.04400
"00000248;SALAMIN PORTE¥O P/GRUESO;1;L1 COMERCIO;0.00000
"00000248;SALAMIN PORTE¥O P/GRUESO;26;L60 TOTO SAPORE;61870.47900
"00000248;SALAMIN PORTE¥O P/GRUESO;2;L2 VILLARINO;20531.63200
"00000248;SALAMIN PORTE¥O P/GRUESO;54;USUARIO FAENA  BBCA;1.00000
"00000248;SALAMIN PORTE¥O P/GRUESO;4;L3 P ALTA/SIERRA/MONTE;20531.63200
"00000249;SALAMIN PORTE¥O P/FINO;54;USUARIO FAENA  BBCA;1.00000
"00000249;SALAMIN PORTE¥O P/FINO;4;L3 P ALTA/SIERRA/MONTE;20531.63200
"00000249;SALAMIN PORTE¥O P/FINO;41;L41 ENV AL VACIO;352.04400
"00000249;SALAMIN PORTE¥O P/FINO;52;PM MEAT CHAIN BONARENSE;0.00000
"00000249;SALAMIN PORTE¥O P/FINO;55;L55 MARTIN LISTA;0.00000
"00000249;SALAMIN PORTE¥O P/FINO;53;MD;0.00000
"00000249;SALAMIN PORTE¥O P/FINO;1;L1 COMERCIO;0.00000
"00000249;SALAMIN PORTE¥O P/FINO;2;L2 VILLARINO;20531.63200
"00000249;SALAMIN PORTE¥O P/FINO;26;L60 TOTO SAPORE;61870.47900
"00000250;SALAMIN BASTON;1;L1 COMERCIO;18183.82500
"00000250;SALAMIN BASTON;41;L41 ENV AL VACIO;352.04400
"00000250;SALAMIN BASTON;55;L55 MARTIN LISTA;17230.14700
"00000250;SALAMIN BASTON;2;L2 VILLARINO;18183.82500
"00000250;SALAMIN BASTON;52;PM MEAT CHAIN BONARENSE;16146.46000
"00000250;SALAMIN BASTON;4;L3 P ALTA/SIERRA/MONTE;18183.82500
"00000250;SALAMIN BASTON;53;MD;0.00000
"00000250;SALAMIN BASTON;26;L60 TOTO SAPORE;61870.34700
"00000250;SALAMIN BASTON;54;USUARIO FAENA  BBCA;0.00000
"00000251;FIAMBRE SURTIDO II ( 4 PIEZAS );1;L1 COMERCIO;8846.18900
"00000251;FIAMBRE SURTIDO II ( 4 PIEZAS );41;L41 ENV AL VACIO;141.75000
"00000251;FIAMBRE SURTIDO II ( 4 PIEZAS );55;L55 MARTIN LISTA;7789.11100
"00000251;FIAMBRE SURTIDO II ( 4 PIEZAS );2;L2 VILLARINO;8846.18900
"00000251;FIAMBRE SURTIDO II ( 4 PIEZAS );52;PM MEAT CHAIN BONARENSE;7866.43000
"00000251;FIAMBRE SURTIDO II ( 4 PIEZAS );4;L3 P ALTA/SIERRA/MONTE;8846.18900
"00000251;FIAMBRE SURTIDO II ( 4 PIEZAS );53;MD;0.00000
"00000251;FIAMBRE SURTIDO II ( 4 PIEZAS );26;L60 TOTO SAPORE;31816.58700
"00000251;FIAMBRE SURTIDO II ( 4 PIEZAS );54;USUARIO FAENA  BBCA;0.00000
"00000252;CHORIZOS SIN SAL;1;L1 COMERCIO;0.00000
"00000252;CHORIZOS SIN SAL;41;L41 ENV AL VACIO;0.00000
"00000252;CHORIZOS SIN SAL;53;MD;0.00000
"00000252;CHORIZOS SIN SAL;2;L2 VILLARINO;0.00000
"00000252;CHORIZOS SIN SAL;54;USUARIO FAENA  BBCA;1.00000
"00000252;CHORIZOS SIN SAL;52;PM MEAT CHAIN BONARENSE;0.00000
"00000252;CHORIZOS SIN SAL;4;L3 P ALTA/SIERRA/MONTE;0.00000
"00000252;CHORIZOS SIN SAL;55;L55 MARTIN LISTA;0.00000
"00000252;CHORIZOS SIN SAL;26;L60 TOTO SAPORE;0.00000
"00000253;FIAMBRE SURTIDO (3 PIEZAS);52;PM MEAT CHAIN BONARENSE;0.00000
"00000253;FIAMBRE SURTIDO (3 PIEZAS);1;L1 COMERCIO;0.00000
"00000253;FIAMBRE SURTIDO (3 PIEZAS);53;MD;0.00000
"00000253;FIAMBRE SURTIDO (3 PIEZAS);26;L60 TOTO SAPORE;0.00000
"00000253;FIAMBRE SURTIDO (3 PIEZAS);2;L2 VILLARINO;8085.47300
"00000253;FIAMBRE SURTIDO (3 PIEZAS);54;USUARIO FAENA  BBCA;1.00000
"00000253;FIAMBRE SURTIDO (3 PIEZAS);4;L3 P ALTA/SIERRA/MONTE;8085.47300
"00000253;FIAMBRE SURTIDO (3 PIEZAS);41;L41 ENV AL VACIO;141.75000
"00000253;FIAMBRE SURTIDO (3 PIEZAS);55;L55 MARTIN LISTA;0.00000
"00000254;FIAMBRE;41;L41 ENV AL VACIO;0.00000
"00000254;FIAMBRE;55;L55 MARTIN LISTA;0.00000
"00000254;FIAMBRE;26;L60 TOTO SAPORE;0.00000
"00000254;FIAMBRE;1;L1 COMERCIO;0.00000
"00000254;FIAMBRE;52;PM MEAT CHAIN BONARENSE;0.00000
"00000254;FIAMBRE;4;L3 P ALTA/SIERRA/MONTE;0.00000
"00000254;FIAMBRE;54;USUARIO FAENA  BBCA;1.00000
"00000254;FIAMBRE;2;L2 VILLARINO;0.00000
"00000254;FIAMBRE;53;MD;0.00000
"00000255;MILANESAS;4;L3 P ALTA/SIERRA/MONTE;13140.49587
"00000255;MILANESAS;53;MD;0.00000
"00000255;MILANESAS;26;L60 TOTO SAPORE;44071.55500
"00000255;MILANESAS;54;USUARIO FAENA  BBCA;0.00000
"00000255;MILANESAS;1;L1 COMERCIO;13140.49587
"00000255;MILANESAS;41;L41 ENV AL VACIO;0.00000
"00000255;MILANESAS;55;L55 MARTIN LISTA;14195.66500
"00000255;MILANESAS;2;L2 VILLARINO;13140.49587
"00000255;MILANESAS;52;PM MEAT CHAIN BONARENSE;14334.50700
"00000256;COMBO II ( F/G,ESPA.,NAPO,CALA,CASERITO);4;L3 P ALTA/SIERRA/MONTE;18183.82500
"00000256;COMBO II ( F/G,ESPA.,NAPO,CALA,CASERITO);53;MD;0.00000
"00000256;COMBO II ( F/G,ESPA.,NAPO,CALA,CASERITO);26;L60 TOTO SAPORE;0.00000
"00000256;COMBO II ( F/G,ESPA.,NAPO,CALA,CASERITO);54;USUARIO FAENA  BBCA;0.00000
"00000256;COMBO II ( F/G,ESPA.,NAPO,CALA,CASERITO);1;L1 COMERCIO;18183.82500
"00000256;COMBO II ( F/G,ESPA.,NAPO,CALA,CASERITO);41;L41 ENV AL VACIO;352.04400
"00000256;COMBO II ( F/G,ESPA.,NAPO,CALA,CASERITO);55;L55 MARTIN LISTA;17230.14700
"00000256;COMBO II ( F/G,ESPA.,NAPO,CALA,CASERITO);2;L2 VILLARINO;18183.82500
"00000256;COMBO II ( F/G,ESPA.,NAPO,CALA,CASERITO);52;PM MEAT CHAIN BONARENSE;16146.46000
"00000257;COMBO I (MILAN,CANTIMPALO,SALAMIN);54;USUARIO FAENA  BBCA;1.00000
"00000257;COMBO I (MILAN,CANTIMPALO,SALAMIN);4;L3 P ALTA/SIERRA/MONTE;0.00000
"00000257;COMBO I (MILAN,CANTIMPALO,SALAMIN);41;L41 ENV AL VACIO;352.04400
"00000257;COMBO I (MILAN,CANTIMPALO,SALAMIN);55;L55 MARTIN LISTA;0.00000
"00000257;COMBO I (MILAN,CANTIMPALO,SALAMIN);1;L1 COMERCIO;0.00000
"00000257;COMBO I (MILAN,CANTIMPALO,SALAMIN);52;PM MEAT CHAIN BONARENSE;0.00000
"00000257;COMBO I (MILAN,CANTIMPALO,SALAMIN);26;L60 TOTO SAPORE;0.00000
"00000257;COMBO I (MILAN,CANTIMPALO,SALAMIN);53;MD;0.00000
"00000257;COMBO I (MILAN,CANTIMPALO,SALAMIN);2;L2 VILLARINO;0.00000
"00000258;PROMO;2;L2 VILLARINO;0.00000
"00000258;PROMO;53;MD;0.00000
"00000258;PROMO;52;PM MEAT CHAIN BONARENSE;0.00000
"00000258;PROMO;41;L41 ENV AL VACIO;0.00000
"00000258;PROMO;4;L3 P ALTA/SIERRA/MONTE;0.00000
"00000258;PROMO;54;USUARIO FAENA  BBCA;1.00000
"00000258;PROMO;55;L55 MARTIN LISTA;0.00000
"00000258;PROMO;1;L1 COMERCIO;0.00000
"00000258;PROMO;26;L60 TOTO SAPORE;0.00000
"00000259;BASTON ESPA¥OLA;53;MD;0.00000
"00000259;BASTON ESPA¥OLA;55;L55 MARTIN LISTA;0.00000
"00000259;BASTON ESPA¥OLA;4;L3 P ALTA/SIERRA/MONTE;0.00000
"00000259;BASTON ESPA¥OLA;26;L60 TOTO SAPORE;0.00000
"00000259;BASTON ESPA¥OLA;41;L41 ENV AL VACIO;0.00000
"00000259;BASTON ESPA¥OLA;54;USUARIO FAENA  BBCA;1.00000
"00000259;BASTON ESPA¥OLA;1;L1 COMERCIO;0.00000
"00000259;BASTON ESPA¥OLA;2;L2 VILLARINO;0.00000
"00000259;BASTON ESPA¥OLA;52;PM MEAT CHAIN BONARENSE;0.00000
"00000260;BASTON PICADO FINO;4;L3 P ALTA/SIERRA/MONTE;0.00000
"00000260;BASTON PICADO FINO;52;PM MEAT CHAIN BONARENSE;0.00000
"00000260;BASTON PICADO FINO;53;MD;0.00000
"00000260;BASTON PICADO FINO;55;L55 MARTIN LISTA;0.00000
"00000260;BASTON PICADO FINO;41;L41 ENV AL VACIO;0.00000
"00000260;BASTON PICADO FINO;26;L60 TOTO SAPORE;0.00000
"00000260;BASTON PICADO FINO;1;L1 COMERCIO;0.00000
"00000260;BASTON PICADO FINO;54;USUARIO FAENA  BBCA;1.00000
"00000260;BASTON PICADO FINO;2;L2 VILLARINO;0.00000
"00000261;FIAMBRE SURTIDO  303;1;L1 COMERCIO;0.00000
"00000261;FIAMBRE SURTIDO  303;54;USUARIO FAENA  BBCA;1.00000
"00000261;FIAMBRE SURTIDO  303;53;MD;0.00000
"00000261;FIAMBRE SURTIDO  303;2;L2 VILLARINO;0.00000
"00000261;FIAMBRE SURTIDO  303;41;L41 ENV AL VACIO;0.00000
"00000261;FIAMBRE SURTIDO  303;55;L55 MARTIN LISTA;0.00000
"00000261;FIAMBRE SURTIDO  303;26;L60 TOTO SAPORE;0.00000
"00000261;FIAMBRE SURTIDO  303;52;PM MEAT CHAIN BONARENSE;0.00000
"00000261;FIAMBRE SURTIDO  303;4;L3 P ALTA/SIERRA/MONTE;0.00000
"00000262;BASTON PICADO GRUESO;2;L2 VILLARINO;0.00000
"00000262;BASTON PICADO GRUESO;52;PM MEAT CHAIN BONARENSE;14859.49300
"00000262;BASTON PICADO GRUESO;4;L3 P ALTA/SIERRA/MONTE;18183.82500
"00000262;BASTON PICADO GRUESO;53;MD;0.00000
"00000262;BASTON PICADO GRUESO;26;L60 TOTO SAPORE;0.00000
"00000262;BASTON PICADO GRUESO;54;USUARIO FAENA  BBCA;0.00000
"00000262;BASTON PICADO GRUESO;1;L1 COMERCIO;18183.82500
"00000262;BASTON PICADO GRUESO;41;L41 ENV AL VACIO;0.00000
"00000262;BASTON PICADO GRUESO;55;L55 MARTIN LISTA;17230.14700
"00000268;QUESO DE MAQUINA;26;L60 TOTO SAPORE;0.00000
"00000268;QUESO DE MAQUINA;52;PM MEAT CHAIN BONARENSE;0.00000
"00000268;QUESO DE MAQUINA;53;MD;0.00000
"00000268;QUESO DE MAQUINA;1;L1 COMERCIO;0.00000
"00000268;QUESO DE MAQUINA;2;L2 VILLARINO;0.00000
"00000268;QUESO DE MAQUINA;54;USUARIO FAENA  BBCA;1.00000
"00000268;QUESO DE MAQUINA;4;L3 P ALTA/SIERRA/MONTE;0.00000
"00000268;QUESO DE MAQUINA;55;L55 MARTIN LISTA;0.00000
"00000268;QUESO DE MAQUINA;41;L41 ENV AL VACIO;318.93750
"00000269;SANDWICH DE MIGA;2;L2 VILLARINO;0.00000
"00000269;SANDWICH DE MIGA;55;L55 MARTIN LISTA;0.00000
"00000269;SANDWICH DE MIGA;4;L3 P ALTA/SIERRA/MONTE;0.00000
"00000269;SANDWICH DE MIGA;26;L60 TOTO SAPORE;0.00000
"00000269;SANDWICH DE MIGA;52;PM MEAT CHAIN BONARENSE;0.00000
"00000269;SANDWICH DE MIGA;53;MD;0.00000
"00000269;SANDWICH DE MIGA;41;L41 ENV AL VACIO;0.00000
"00000269;SANDWICH DE MIGA;54;USUARIO FAENA  BBCA;1.00000
"00000269;SANDWICH DE MIGA;1;L1 COMERCIO;0.00000
"00000274;HAMBURGUESAS *KG 303;2;L2 VILLARINO;0.00000
"00000274;HAMBURGUESAS *KG 303;4;L3 P ALTA/SIERRA/MONTE;0.00000
"00000274;HAMBURGUESAS *KG 303;26;L60 TOTO SAPORE;0.00000
"00000274;HAMBURGUESAS *KG 303;55;L55 MARTIN LISTA;0.00000
"00000274;HAMBURGUESAS *KG 303;41;L41 ENV AL VACIO;184.27500
"00000274;HAMBURGUESAS *KG 303;52;PM MEAT CHAIN BONARENSE;0.00000
"00000274;HAMBURGUESAS *KG 303;53;MD;0.00000
"00000274;HAMBURGUESAS *KG 303;1;L1 COMERCIO;0.00000
"00000274;HAMBURGUESAS *KG 303;54;USUARIO FAENA  BBCA;1.00000
"00000275;MADEJA DE TRIPA;52;PM MEAT CHAIN BONARENSE;0.00000
"00000275;MADEJA DE TRIPA;53;MD;0.00000
"00000275;MADEJA DE TRIPA;2;L2 VILLARINO;0.00000
"00000275;MADEJA DE TRIPA;54;USUARIO FAENA  BBCA;1.00000
"00000275;MADEJA DE TRIPA;4;L3 P ALTA/SIERRA/MONTE;0.00000
"00000275;MADEJA DE TRIPA;55;L55 MARTIN LISTA;0.00000
"00000275;MADEJA DE TRIPA;26;L60 TOTO SAPORE;0.00000
"00000275;MADEJA DE TRIPA;41;L41 ENV AL VACIO;0.00000
"00000275;MADEJA DE TRIPA;1;L1 COMERCIO;0.00000
"00000301;TOCINO;26;L60 TOTO SAPORE;21376.49800
"00000301;TOCINO;54;USUARIO FAENA  BBCA;0.00000
"00000301;TOCINO;1;L1 COMERCIO;4956.83100
"00000301;TOCINO;41;L41 ENV AL VACIO;93.21267
"00000301;TOCINO;55;L55 MARTIN LISTA;4703.62200
"00000301;TOCINO;2;L2 VILLARINO;4956.83100
"00000301;TOCINO;52;PM MEAT CHAIN BONARENSE;2799.99500
"00000301;TOCINO;4;L3 P ALTA/SIERRA/MONTE;4956.87500
"00000301;TOCINO;53;MD;0.00000
"00000302;BIFE DE CERDO;2;L2 VILLARINO;6149.32127
"00000302;BIFE DE CERDO;52;PM MEAT CHAIN BONARENSE;6036.30500
"00000302;BIFE DE CERDO;4;L3 P ALTA/SIERRA/MONTE;6149.32127
"00000302;BIFE DE CERDO;53;MD;0.00000
"00000302;BIFE DE CERDO;26;L60 TOTO SAPORE;16235.55656
"00000302;BIFE DE CERDO;54;USUARIO FAENA  BBCA;1.00000
"00000302;BIFE DE CERDO;1;L1 COMERCIO;6149.32127
"00000302;BIFE DE CERDO;41;L41 ENV AL VACIO;0.00000
"00000302;BIFE DE CERDO;55;L55 MARTIN LISTA;6036.30500
"00000303;PECHITO DE CERDO;26;L60 TOTO SAPORE;16235.56000
"00000303;PECHITO DE CERDO;54;USUARIO FAENA  BBCA;1.00000
"00000303;PECHITO DE CERDO;1;L1 COMERCIO;7864.25339
"00000303;PECHITO DE CERDO;41;L41 ENV AL VACIO;0.00000
"00000303;PECHITO DE CERDO;55;L55 MARTIN LISTA;6036.30500
"00000303;PECHITO DE CERDO;2;L2 VILLARINO;7864.25339
"00000303;PECHITO DE CERDO;52;PM MEAT CHAIN BONARENSE;6271.48500
"00000303;PECHITO DE CERDO;4;L3 P ALTA/SIERRA/MONTE;7864.25339
"00000303;PECHITO DE CERDO;53;MD;0.00000
"00000304;PALETA DE CERDO FCA C/H;52;PM MEAT CHAIN BONARENSE;9917.14900
"00000304;PALETA DE CERDO FCA C/H;4;L3 P ALTA/SIERRA/MONTE;7226.56000
"00000304;PALETA DE CERDO FCA C/H;53;MD;0.00000
"00000304;PALETA DE CERDO FCA C/H;26;L60 TOTO SAPORE;24467.55300
"00000304;PALETA DE CERDO FCA C/H;54;USUARIO FAENA  BBCA;0.00000
"00000304;PALETA DE CERDO FCA C/H;1;L1 COMERCIO;6670.66400
"00000304;PALETA DE CERDO FCA C/H;41;L41 ENV AL VACIO;166.51584
"00000304;PALETA DE CERDO FCA C/H;55;L55 MARTIN LISTA;4938.80200
"00000304;PALETA DE CERDO FCA C/H;2;L2 VILLARINO;7226.56000
"00000305;PANCETA FCA.;1;L1 COMERCIO;12901.47100
"00000305;PANCETA FCA.;41;L41 ENV AL VACIO;265.15837
"00000305;PANCETA FCA.;55;L55 MARTIN LISTA;8231.34400
"00000305;PANCETA FCA.;2;L2 VILLARINO;12901.47100
"00000305;PANCETA FCA.;52;PM MEAT CHAIN BONARENSE;9154.29900
"00000305;PANCETA FCA.;4;L3 P ALTA/SIERRA/MONTE;12901.47100
"00000305;PANCETA FCA.;53;MD;0.00000
"00000305;PANCETA FCA.;26;L60 TOTO SAPORE;22317.44900
"00000305;PANCETA FCA.;54;USUARIO FAENA  BBCA;0.00000
"00000306;PATAS;26;L60 TOTO SAPORE;11395.04300
"00000306;PATAS;54;USUARIO FAENA  BBCA;1.00000
"00000306;PATAS;1;L1 COMERCIO;3335.34300
"00000306;PATAS;41;L41 ENV AL VACIO;94.11765
"00000306;PATAS;55;L55 MARTIN LISTA;2268.59600
"00000306;PATAS;2;L2 VILLARINO;4167.20700
"00000306;PATAS;52;PM MEAT CHAIN BONARENSE;2268.60700
"00000306;PATAS;4;L3 P ALTA/SIERRA/MONTE;4167.19600
"00000306;PATAS;53;MD;0.00000
"00000307;HUESOS;1;L1 COMERCIO;0.00000
"00000307;HUESOS;52;PM MEAT CHAIN BONARENSE;0.00000
"00000307;HUESOS;26;L60 TOTO SAPORE;6549.71900
"00000307;HUESOS;53;MD;0.00000
"00000307;HUESOS;2;L2 VILLARINO;0.00000
"00000307;HUESOS;54;USUARIO FAENA  BBCA;1.00000
"00000307;HUESOS;4;L3 P ALTA/SIERRA/MONTE;0.00000
"00000307;HUESOS;55;L55 MARTIN LISTA;0.00000
"00000307;HUESOS;41;L41 ENV AL VACIO;0.00000
"00000308;UNTO;2;L2 VILLARINO;902.60500
"00000308;UNTO;52;PM MEAT CHAIN BONARENSE;0.00000
"00000308;UNTO;55;L55 MARTIN LISTA;0.00000
"00000308;UNTO;4;L3 P ALTA/SIERRA/MONTE;902.60500
"00000308;UNTO;53;MD;0.00000
"00000308;UNTO;26;L60 TOTO SAPORE;786.12600
"00000308;UNTO;54;USUARIO FAENA  BBCA;1.00000
