Sku;Producto;Precio;;;;;;;;;;;;;;;;;;;;
1226;BISAGRA BRONCE RECTANGULAR P/PLANA 1; $228.25;;;;;;;;;;;;;;;;;;;;
1227;BISAGRA BRONCE RECTANGULAR P/PLANA 1.5; $257.00;;;;;;;;;;;;;;;;;;;;
1228;BISAGRA BRONCE RECTANGULAR P/PLANA 2; $314.00;;;;;;;;;;;;;;;;;;;;
1229;BISAGRA BRONCE RECTANGULAR P/PLANA 2.5; $428.25;;;;;;;;;;;;;;;;;;;;
1230;BISAGRA BRONCE RECTANGULAR P/PLANA 3; $627.75;;;;;;;;;;;;;;;;;;;;
1222;BISAGRA CUADRADA 2 P/PLANA; $742.00;;;;;;;;;;;;;;;;;;;;
1998;BISAGRA CUADRADA 2 P/REDONDA; $742.00;;;;;;;;;;;;;;;;;;;;
1223;BISAGRA CUADRADA 2,5 P/PLANA; $970.25;;;;;;;;;;;;;;;;;;;;
1999;BISAGRA CUADRADA 2,5 P/REDONDA; $970.25;;;;;;;;;;;;;;;;;;;;
1224;BISAGRA CUADRADA 3 P/PLANA; $1166.00;;;;;;;;;;;;;;;;;;;;
2000;BISAGRA CUADRADA 3 P/REDONDA; $1166.00;;;;;;;;;;;;;;;;;;;;
1225;BISAGRA CUADRADA 4 P/PLANA; $1968.75;;;;;;;;;;;;;;;;;;;;
2001;BISAGRA CUADRADA 4 P/REDONDA; $1968.75;;;;;;;;;;;;;;;;;;;;
312;BOCA LLAVE MAGNETICA 3/8 -sin stock; $1012.50;;;;;;;;;;;;;;;;;;;;
248;Bolsa de dormir rectangular; $23413.50;;;;;;;;;;;;;;;;;;;;
249;Bolsa de dormir rectangular con capucha -sin stock; $27860.25;;;;;;;;;;;;;;;;;;;;
609;BOMBA CENTRIFUGA 3/4HP - ALEBA -sin stock; $91125.75;;;;;;;;;;;;;;;;;;;;
1413;Bomba centrífuga 1 HP-KUSHIRO; $154718.00;;;;;;;;;;;;;;;;;;;;
2126;Bomba centrífuga 1/2 HP - KUSHIRO; $116423.25;;;;;;;;;;;;;;;;;;;;
1412;Bomba centrífuga 3/4 HP-KUSHIRO; $138586.25;;;;;;;;;;;;;;;;;;;;
1604;Bomba de trasvase a palanca; $38115.00;;;;;;;;;;;;;;;;;;;;
893;BOMBA PERIFERICA 1/2HP -BELARRA -sin stock; $19987.00;;;;;;;;;;;;;;;;;;;;
1888;BOMBA PERIFERICA ENERGY 1/2 HP; $38500.00;;;;;;;;;;;;;;;;;;;;
1603;Bomba rotativa manual de trasvase -sin stock; $46373.25;;;;;;;;;;;;;;;;;;;;
1417;Boquilla 20 mm para termofusora; $1466.75;;;;;;;;;;;;;;;;;;;;
1418;Boquilla 25 mm para termofusora; $2016.50;;;;;;;;;;;;;;;;;;;;
1419;Boquilla 32 mm para termofusora; $2383.25;;;;;;;;;;;;;;;;;;;;
1420;Boquilla 40 mm para termofusora; $3176.25;;;;;;;;;;;;;;;;;;;;
1421;Boquilla 50 mm para termofusora; $4356.00;;;;;;;;;;;;;;;;;;;;
1422;Boquilla 63 mm para termofusora; $5717.25;;;;;;;;;;;;;;;;;;;;
2090;Bordeadora 18 V - Ion litio; $79742.25;;;;;;;;;;;;;;;;;;;;
937;BORDEADORA 600W ALEBA; $45952.50;;;;;;;;;;;;;;;;;;;;
938;BORDEADORA 900W ALEBA; $56974.50;;;;;;;;;;;;;;;;;;;;
1959;BOTELLA AC.COLOR T/ENGOMADA 600ML CELESTE; $9663.25;;;;;;;;;;;;;;;;;;;;
1961;BOTELLA AC.COLOR T/ENGOMADA 600ML NARANJA; $9663.25;;;;;;;;;;;;;;;;;;;;
1960;BOTELLA AC.COLOR T/ENGOMADA 600ML ROJA; $9663.25;;;;;;;;;;;;;;;;;;;;
730;BOTELLA AC.COLOR T/ENGOMADA 600ML VERDE; $9663.25;;;;;;;;;;;;;;;;;;;;
731;BOTELLA AC.COLORES PASTEL T/ENGOMADA 600ML -sin stock; $9663.25;;;;;;;;;;;;;;;;;;;;
1130;BOTELLA ACERO.INOX C/FAJA COLOR 500CC sport -sin stock; $8672.00;;;;;;;;;;;;;;;;;;;;
1969;Botella c/controlador de temperatura Stanley AZUL; $8550.00;;;;;;;;;;;;;;;;;;;;
1973;Botella c/controlador de temperatura Stanley BLANCO; $8550.00;;;;;;;;;;;;;;;;;;;;
1972;Botella c/controlador de temperatura Stanley FUCSIA; $8550.00;;;;;;;;;;;;;;;;;;;;
2031;Botella c/controlador de temperatura Stanley LILA; $8550.00;;;;;;;;;;;;;;;;;;;;
1971;Botella c/controlador de temperatura Stanley NEGRO; $8550.00;;;;;;;;;;;;;;;;;;;;
1636;Botella c/controlador de temperatura Stanley ROJA; $8550.00;;;;;;;;;;;;;;;;;;;;
1968;Botella c/controlador de temperatura Stanley ROSA VIEJO; $8550.00;;;;;;;;;;;;;;;;;;;;
1970;Botella c/controlador de temperatura Stanley VERDE AGUA; $8550.00;;;;;;;;;;;;;;;;;;;;
1836;Botella termica VONNE 600 ml Turquesa/Violeta -sin stock; $20509.50;;;;;;;;;;;;;;;;;;;;
1028;Boya dosificadora de cloro 7; $6966.00;;;;;;;;;;;;;;;;;;;;
1029;Boya dosificadora de cloro 9; $9990.75;;;;;;;;;;;;;;;;;;;;
1857;Brazo de ducha 15 cm ABS; $2631.75;;;;;;;;;;;;;;;;;;;;
142;Brazo de ducha 15 cm acero inoxidable; $5958.75;;;;;;;;;;;;;;;;;;;;
143;Brazo de ducha 40 cm acero inoxidable; $7713.75;;;;;;;;;;;;;;;;;;;;
1022;Broca escalonada 4-20; $5041.25;;;;;;;;;;;;;;;;;;;;
1023;Broca escalonada 4-32; $10082.50;;;;;;;;;;;;;;;;;;;;
716;BROCA WIDIA N°10; $1850.00;;;;;;;;;;;;;;;;;;;;
1429;BROCA WIDIA N°12; $2350.50;;;;;;;;;;;;;;;;;;;;
804;BROCA WIDIA N°5; $755.00;;;;;;;;;;;;;;;;;;;;
714;BROCA WIDIA N°6; $881.00;;;;;;;;;;;;;;;;;;;;
715;BROCA WIDIA N°8; $1250.25;;;;;;;;;;;;;;;;;;;;
991;BURLETE TIPO E X 6MT-GEKO; $4367.00;;;;;;;;;;;;;;;;;;;;
985;BURLETE TIPO O-EVO X 6MT GEKO; $10069.75;;;;;;;;;;;;;;;;;;;;
992;BURLETE TIPO P X 6MT-GEKO; $4367.25;;;;;;;;;;;;;;;;;;;;
986;BURLETE TIPO V VENT.CORREDIZA GEKO; $13672.25;;;;;;;;;;;;;;;;;;;;
643;BUSCAPOLO CHICO 140MM 100-250VCA; $1019.00;;;;;;;;;;;;;;;;;;;;
644;BUSCAPOLO GRANDE 190MM 100-250VCA; $1248.00;;;;;;;;;;;;;;;;;;;;
1794;CABALLETE REFORZADO MADERA 3x1 ATORNILLADO Y ENCOLADO; $5672.00;;;;;;;;;;;;;;;;;;;;
560;Cabezal de ducha cuadrado 15 cm acero inoxidable -sin stock; $20328.00;;;;;;;;;;;;;;;;;;;;
144;Cabezal de ducha cuadrado 20 cm acero inoxidable; $25954.50;;;;;;;;;;;;;;;;;;;;
145;Cabezal de ducha cuadrado 25 cm acero inoxidable-sin stock-; $38115.00;;;;;;;;;;;;;;;;;;;;
146;Cabezal de ducha redondo 15 cm acero inoxidable -sin stock; $18513.00;;;;;;;;;;;;;;;;;;;;
147;Cabezal de ducha redondo 20 cm acero inoxidable-sin stock-; $24139.50;;;;;;;;;;;;;;;;;;;;
1726;Cabezal p/Desmalezadora Grilon 10x1.25; $15580.25;;;;;;;;;;;;;;;;;;;;
1724;Cable T.P.R 2x0.75 Bco; $70067.75;;;;;;;;;;;;;;;;;;;;
2021;Cable Coaxil BLANCO Bobina x300mt (Valor por metro); $355.25;;;;;;;;;;;;;;;;;;;;
1457;Cable Coaxil NEGRO Bobina x300mt (Valor por metro); $355.25;;;;;;;;;;;;;;;;;;;;
1670;CABLE CRISTAL 2 X 0.50 -sin stock; $33342.75;;;;;;;;;;;;;;;;;;;;
1304;CABLE DE ACERO FORRADO XMT(ROLLOX400MT); $248.00;;;;;;;;;;;;;;;;;;;;
1244;CABLE PARALELO 2X1 mm bco. x100mts.; $59195.25;;;;;;;;;;;;;;;;;;;;
1243;CABLE PARALELO 2X1.5mm bco. x100mts.; $76833.00;;;;;;;;;;;;;;;;;;;;
1221;CABLE PARALELO 2X2.5mm bco. x100mts.; $103893.50;;;;;;;;;;;;;;;;;;;;
1455;CABLE SUBTERRANEO 2X2.50 (valor por metro)-VIOLETA -sin stock; $1997.50;;;;;;;;;;;;;;;;;;;;
1448;CABLE SUBTERRANEO 2X4 (valor por metro)-VIOLETA-; $3121.00;;;;;;;;;;;;;;;;;;;;
1433;CABLE SUBTERRANEO 3X2.50 (valor por metro)-VIOLETA-; $2899.50;;;;;;;;;;;;;;;;;;;;
1456;CABLE SUBTERRANEO 3X4 (valor por metro)-VIOLETA-; $4469.25;;;;;;;;;;;;;;;;;;;;
1215;CABLE TIPO TALLER 2X1-R/100mts.-Negro; $85772.75;;;;;;;;;;;;;;;;;;;;
1216;CABLE TIPO TALLER 2X1.5-R/100mts.-Negro; $115974.25;;;;;;;;;;;;;;;;;;;;
1217;CABLE TIPO TALLER 2X2.5-R/100mts.-Negro- -sin stock; $167196.25;;;;;;;;;;;;;;;;;;;;
1218;CABLE TIPO TALLER 2X4-R/100mts.-Negro- -sin stock; $256593.00;;;;;;;;;;;;;;;;;;;;
1427;CABLE TIPO TALLER 3X1.5 -R/100mts.-Negro-; $151733.00;;;;;;;;;;;;;;;;;;;;
1219;CABLE TIPO TALLER 3X2.5-R/100mts.-Negro -sin stock; $251277.50;;;;;;;;;;;;;;;;;;;;
1220;CABLE TIPO TALLER 3X4 -R/100mts.-Negro-sin stock; $362419.25;;;;;;;;;;;;;;;;;;;;
1653;CABLE UNIP. FLEX 1X1.5 PRYSMIAN AM/VER; $68423.50;;;;;;;;;;;;;;;;;;;;
2009;CABLE UNIP. FLEX 1X1.5 PRYSMIAN BLANCO; $68423.50;;;;;;;;;;;;;;;;;;;;
2010;CABLE UNIP. FLEX 1X1.5 PRYSMIAN CELESTE; $68423.50;;;;;;;;;;;;;;;;;;;;
2007;CABLE UNIP. FLEX 1X1.5 PRYSMIAN MARRON; $68423.50;;;;;;;;;;;;;;;;;;;;
