ID,r01,r02,r03,r04,r05,r06,r07,r08,r09,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43
24,00000208,"QUESO DE CERDO","1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-84.28000,"2018-07-03 00:00:00",0.00000,0.00000,"2019-12-18 14:16:38",0,0,0,4200,0,NULL,"QUESO DE CERDO",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
25,00000209,"MORCILLON CON LENGUA","1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-35.35000,"2017-08-07 00:00:00",0.00000,0.00000,"2019-12-18 14:16:38",0,0,0,4200,0,NULL,"MORCILLON CON LENGUA",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
26,00000210,"LEBER WURST","1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2019-04-05 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-2.10000,"2016-09-08 00:00:00",0.00000,0.00000,"2019-12-18 14:16:38",0,0,0,4200,0,NULL,"LEBER WURST",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
27,00000211,"SALCHICHA DE VIENA","1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,110,0.00000,0.00000,99,,202,-586.35000,"2018-09-11 00:00:00",0.00000,0.00000,"2019-12-18 14:16:38",0,0,0,4200,0,,"SALCHICHA DE VIENA",0.00000,0,0,1,,Bultos,0.00000,0,2
28,00000212,NAKUS,"1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-06 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-2.40000,"2018-09-11 00:00:00",0.00000,0.00000,"2019-12-18 14:16:38",0,0,0,4200,0,NULL,NAKUS,0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
29,00000213,"HAMBURGUESA * 4","1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-01-03 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-980.10000,"2017-10-19 00:00:00",0.00000,0.00000,"2019-12-18 14:16:38",0,0,0,4200,0,NULL,"HAMBURGUESA * 4",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
30,00000214,"HAMBURGUESA * KG","1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,110,0.00000,0.00000,99,,202,-661.39000,"2018-04-11 00:00:00",0.00000,0.00000,"2019-12-18 14:16:38",0,0,0,4200,0,,"HAMBURGUESA * Kg",0.00000,0,0,1,,Bultos,0.00000,0,2
31,00000215,"HAMBURGUESAS * 8","2013-05-14 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2016-11-30 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-6.20000,"2016-11-30 00:00:00",0.00000,0.00000,"2019-12-18 14:16:38",0,0,0,4200,0,NULL,"HAMBURGUESAS * 8",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
32,00000216,"LONGANIZA ESPA¥OLA","1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-01-31 00:00:00",0.00000,0.00000,0.00000,110,0.00000,0.00000,99,,202,-509.15000,"2017-07-12 00:00:00",0.00000,0.00000,"2019-12-18 14:16:38",0,0,0,4200,0,,"LONGANIZA ESPA¥OLA",0.00000,0,0,1,,Bultos,0.00000,0,2
33,00000218,RIOJANITOS,"1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2019-07-10 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,67.85000,"2016-07-07 00:00:00",0.00000,0.00000,"2019-12-18 14:16:38",0,0,0,4200,0,NULL,RIOJANITOS,0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
34,00000219,"PANCETA SALADA","1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-04 00:00:00",0.00000,0.00000,0.00000,110,0.00000,0.00000,99,,202,-102.56000,"2018-09-11 00:00:00",0.00000,0.00000,"2020-01-16 15:22:16",0,0,0,4200,0,,"PANCETA SALADA",0.00000,0,0,1,,Bultos,0.00000,0,2
35,00000220,"PANCETA AHUMADA","1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-156.21000,"2018-09-11 00:00:00",0.00000,0.00000,"2020-01-16 15:22:16",0,0,0,4200,0,NULL,"PANCETA AHUMADA",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
36,00000222,BONDIOLA,"1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2019-09-06 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-785.15000,"2019-08-12 00:00:00",0.00000,0.00000,"2019-12-18 14:16:38",0,0,0,4200,0,NULL,BONDIOLA,0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
37,00000223,"JAMON CON HUESO","1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-01-02 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-46.48000,"2019-03-06 00:00:00",0.00000,0.00000,"2019-12-18 14:16:38",0,0,0,4200,0,NULL,"JAMON CON HUESO",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
38,00000224,"JAMON LISTO MAQUINA","1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-07 00:00:00",0.00000,0.00000,0.00000,110,0.00000,0.00000,99,,202,-504.25000,"2019-03-06 00:00:00",0.00000,0.00000,"2019-12-18 14:16:38",0,0,0,4200,0,,"JAMON LISTO MAQUINA",0.00000,0,0,1,,Bultos,0.00000,0,2
39,00000225,"SALAME MILAN","1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,110,0.00000,0.00000,99,,202,-498.03000,"2018-03-17 00:00:00",0.00000,0.00000,"2019-12-18 14:16:39",0,0,0,4200,0,,"SALAME MILAN",0.00000,0,0,1,,Bultos,0.00000,0,2
40,00000226,CANTIMPALO,"1994-04-06 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,110,0.00000,0.00000,99,,202,-138.32000,"2018-04-09 00:00:00",0.00000,0.00000,"2019-12-18 14:16:39",0,0,0,4200,0,,CANTIMPALO,0.00000,0,0,1,,Bultos,0.00000,0,2
41,00000230,"LOMITO AHUMADO","1994-09-03 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-57.80000,"2018-02-16 00:00:00",0.00000,0.00000,"2019-12-18 14:16:39",0,0,0,4200,0,NULL,"LOMITO AHUMADO",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
42,00000232,"JAMON COCIDO GENUINO CON CUERO","2012-11-15 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2019-09-28 00:00:00",0.00000,0.00000,0.00000,110,0.00000,0.00000,99,,202,-77.91000,"2016-04-22 00:00:00",0.00000,0.00000,"2019-12-18 14:16:39",0,0,0,4200,0,,"JAMON COCIDO GENUINO CON CUERO",0.00000,0,0,1,,Bultos,0.00000,0,2
43,00000233,"JAMON COCIDO NATURAL","2006-05-08 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-08 00:00:00",0.00000,0.00000,0.00000,1,0.00000,0.00000,0,,202,-60.43000,"2017-11-08 00:00:00",0.00000,0.00000,"2019-12-18 14:16:39",0,0,0,4200,0,NULL,"JAMON COCIDO NATURAL",0.00000,NULL,NULL,1,NULL,Bultos,0.00000,0,120
44,00000234,"SALAMIN PICADO GRUESO EST.CAMPO X KG.","2006-11-29 00:00:00",0,1.00000,0.00000,0.00000,0.00000,,0,0,0,"2020-02-11 00:00:00",0.00000,0.00000,0.00000,110,0.00000,0.00000,99,,202,-343.80000,"2017-07-17 00:00:00",0.00000,0.00000,"2020-02-05 14:48:31",0,0,0,4200,0,,"SALAMIN PICADO GRUESO EST.CAMPO X KG.",0.00000,0,0,1,,Bultos,0.00000,0,2
